Date,AverageTemperature,AverageTemperatureUncertainty,State,Country
1796-01-01,24.701,2.231,Puducherry,India
1796-02-01,25.812,1.259,Puducherry,India
1796-03-01,27.076,2.389,Puducherry,India
1796-04-01,29.159,1.645,Puducherry,India
1796-05-01,30.214,1.122,Puducherry,India
1796-06-01,28.64,3.927,Puducherry,India
1796-07-01,27.437,2.657,Puducherry,India
1796-08-01,27.511,3.537,Puducherry,India
1796-09-01,27.423,3.853,Puducherry,India
1796-10-01,26.255,1.647,Puducherry,India
1796-11-01,25.054,3.592,Puducherry,India
1796-12-01,23.453,4.75,Puducherry,India
1797-01-01,,,Puducherry,India
1797-02-01,,,Puducherry,India
1797-03-01,27.754,2.083,Puducherry,India
1797-04-01,28.936,3.139,Puducherry,India
1797-05-01,30.168,2.703,Puducherry,India
1797-06-01,30.234,2.154,Puducherry,India
1797-07-01,28.222,2.593,Puducherry,India
1797-08-01,28.822,2.733,Puducherry,India
1797-09-01,27.629,3.055,Puducherry,India
1797-10-01,26.072,2.139,Puducherry,India
1797-11-01,25.01,1.727,Puducherry,India
1797-12-01,24.569,2.67,Puducherry,India
1798-01-01,24.695,2.459,Puducherry,India
1798-02-01,26.522,1.831,Puducherry,India
1798-03-01,28.342,1.788,Puducherry,India
1798-04-01,,,Puducherry,India
1798-05-01,,,Puducherry,India
1798-06-01,29.875,2.352,Puducherry,India
1798-07-01,29.064,2.315,Puducherry,India
1798-08-01,28.282,4.736,Puducherry,India
1798-09-01,27.776,2.883,Puducherry,India
1798-10-01,26.729,2.183,Puducherry,India
1798-11-01,25.517,2.571,Puducherry,India
1798-12-01,24.527,2.229,Puducherry,India
1799-01-01,24.402,2.162,Puducherry,India
1799-02-01,24.997,2.66,Puducherry,India
1799-03-01,27.856,2.85,Puducherry,India
1799-04-01,29.547,3.647,Puducherry,India
1799-05-01,30.503,1.305,Puducherry,India
1799-06-01,29.83,2.571,Puducherry,India
1799-07-01,27.58,2.424,Puducherry,India
1799-08-01,28.309,1.014,Puducherry,India
1799-09-01,27.449,2.494,Puducherry,India
1799-10-01,26.985,1.784,Puducherry,India
1799-11-01,24.449,2.599,Puducherry,India
1799-12-01,24.666,1.572,Puducherry,India
1800-01-01,24.966,1.704,Puducherry,India
1800-02-01,26.209,4.11,Puducherry,India
1800-03-01,27.735,3.179,Puducherry,India
1800-04-01,30.323,1.52,Puducherry,India
1800-05-01,29.778,1.151,Puducherry,India
1800-06-01,29.279,0.998,Puducherry,India
1800-07-01,27.331,1.973,Puducherry,India
1800-08-01,27.755,2.19,Puducherry,India
1800-09-01,26.789,2.168,Puducherry,India
1800-10-01,26.696,2.301,Puducherry,India
1800-11-01,25.868,2.912,Puducherry,India
1800-12-01,24.451,1.896,Puducherry,India
1801-01-01,25.194,1.506,Puducherry,India
1801-02-01,25.5,0.757,Puducherry,India
1801-03-01,29.563,1.893,Puducherry,India
1801-04-01,,,Puducherry,India
1801-05-01,,,Puducherry,India
1801-06-01,28.872,1.814,Puducherry,India
1801-07-01,27.924,3.183,Puducherry,India
1801-08-01,28.398,2.894,Puducherry,India
1801-09-01,27.142,1.117,Puducherry,India
1801-10-01,26.437,1.501,Puducherry,India
1801-11-01,25.406,1.534,Puducherry,India
